Set Number,Name,Age min,Pieces,State,Bubble Size,Instructions (physical)?,IP,Missing Pieces,Notes
75126,First Order Snowspeeder,6,91,In the aether,1,Yes,Star Wars,,
75359,332nd Ahsoka's Clone Trooper Battle Pack,6,108,In the aether,1,Yes,Star Wars,,
75373,Ambush on Mandalore,6,109,In the aether,1,Yes,Star Wars,,
31111,Cyber Drone,6,113,In the aether,1,Yes,3-in-1,,
31124,Super Robot,6,159,In the aether,1,Yes,3-in-1,,
75390,Luke Skywalker X-Wing Mech,6,195,In the aether,1,Yes,Star Wars,,
71360,Adventures with Mario Starter Course,6,231,In the aether,1,No,Super Mario,,
60430,Interstellar Spaceship,6,240,In the aether,1,Yes,Lego City,,
60348,Lunar Roving Vehicle,6,275,In the aether,1,Yes,Lego City,,
31066,Space Shuttle Explorer,7,285,In the aether,1,Yes,3-in-1,,
40640,Nutcracker,8,208,In the aether,1,Yes,None,,
75378,BARC Speeder Escape,8,221,In the aether,1,Yes,Star Wars,,
75360,Yoda's Jedi Starfighter,8,253,In the aether,1,Yes,Star Wars,,
40346,LEGOLAND EXCLUSIVE Park Set,8,1336,In the aether,1,Yes,None,,
21320,Dinosaur Fossils,16,910,In the aether,1,Yes,None,,
10280,Flower Bouquet,18,756,In the aether,1,Yes,Botanical Collection,,
10329,Tiny Plants,18,758,In the aether,1,Yes,Botanical Collection,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,28319,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
